Datetime,Discharge_ML_day,QC
03/12/1993 00:00:00,152.214,1
04/12/1993 00:00:00,156.508,1
05/12/1993 00:00:00,159.408,1
06/12/1993 00:00:00,144.787,1
07/12/1993 00:00:00,145.312,1
08/12/1993 00:00:00,136.862,1
09/12/1993 00:00:00,125.884,1
10/12/1993 00:00:00,104.47,1
11/12/1993 00:00:00,97.114,1
12/12/1993 00:00:00,107.655,1
13/12/1993 00:00:00,102.095,1
14/12/1993 00:00:00,101.084,1
15/12/1993 00:00:00,102.509,1
16/12/1993 00:00:00,126.141,1
17/12/1993 00:00:00,119.78,1
18/12/1993 00:00:00,161.07,1
19/12/1993 00:00:00,177.301,1
20/12/1993 00:00:00,173.026,1
21/12/1993 00:00:00,153.431,1
22/12/1993 00:00:00,131.483,1
23/12/1993 00:00:00,121.547,1
